ID,GENERO,EDAD,N,AC_Z,ACTIVIDAD
15,0,1,9,8.759368896484375,1
15,0,1,10,8.5103759765625,1
15,0,1,11,8.586990356445312,1
15,0,1,12,8.582199096679688,1
15,0,1,13,8.601364135742188,1
15,0,1,14,8.620513916015625,1
15,0,1,15,8.500808715820312,1
16,0,1,0,8.524749755859375,1
16,0,1,1,8.802474975585938,1
16,0,1,2,8.438552856445312,1
16,0,1,3,8.46728515625,1
16,0,1,4,8.788101196289062,1
16,0,1,5,8.76416015625,1
16,0,1,6,8.452911376953125,1
16,0,1,7,8.60614013671875,1
16,0,1,8,8.792892456054688,1
16,0,1,9,8.620513916015625,1
16,0,1,10,8.428970336914062,1
16,0,1,11,8.596572875976562,1
16,0,1,12,8.591781616210938,1
16,0,1,13,8.553466796875,1
16,0,1,14,8.539108276367188,1
16,0,1,15,8.586990356445312,1
17,0,1,0,8.591781616210938,1
17,0,1,1,8.553466796875,1
17,0,1,2,8.539108276367188,1
17,0,1,3,8.586990356445312,1
17,0,1,4,8.548690795898438,1
17,0,1,5,8.56304931640625,1
17,0,1,6,8.529525756835938,1
17,0,1,7,8.5726318359375,1
17,0,1,8,8.60614013671875,1
17,0,1,9,8.51995849609375,1
17,0,1,10,8.610931396484375,1
17,0,1,11,8.586990356445312,1
17,0,1,12,8.496017456054688,1
17,0,1,13,8.56304931640625,1
17,0,1,14,8.56304931640625,1
17,0,1,15,8.596572875976562,1
18,0,1,0,8.496017456054688,1
18,0,1,1,8.56304931640625,1
18,0,1,2,8.56304931640625,1
18,0,1,3,8.596572875976562,1
18,0,1,4,8.558258056640625,1
18,0,1,5,8.558258056640625,1
18,0,1,6,8.539108276367188,1
18,0,1,7,8.591781616210938,1
18,0,1,8,8.591781616210938,1
18,0,1,9,8.558258056640625,1
18,0,1,10,8.500808715820312,1
18,0,1,11,8.505584716796875,1
18,0,1,12,8.529525756835938,1
18,0,1,13,8.61572265625,1
18,0,1,14,8.51995849609375,1
18,0,1,15,8.553466796875,1
19,0,1,0,8.692337036132812,1
19,0,1,1,8.692337036132812,1
19,0,1,2,8.314056396484375,1
19,0,1,3,8.759368896484375,1
19,0,1,4,8.807266235351562,1
19,0,1,5,8.61572265625,1
19,0,1,6,8.5726318359375,1
19,0,1,7,8.71148681640625,1
19,0,1,8,8.840774536132812,1
19,0,1,9,8.654037475585938,1
19,0,1,10,8.596572875976562,1
19,0,1,11,8.673187255859375,1
19,0,1,12,8.754592895507812,1
19,0,1,13,8.663604736328125,1
19,0,1,14,8.644454956054688,1
19,0,1,15,8.76416015625,1
20,0,1,0,8.754592895507812,1
20,0,1,1,8.663604736328125,1
20,0,1,2,8.644454956054688,1
20,0,1,3,8.76416015625,1
20,0,1,4,8.663604736328125,1
20,0,1,5,8.76416015625,1
20,0,1,6,8.697128295898438,1
20,0,1,7,8.687545776367188,1
20,0,1,8,8.754592895507812,1
20,0,1,9,8.706695556640625,1
20,0,1,10,8.6588134765625,1
20,0,1,11,8.654037475585938,1
20,0,1,12,8.754592895507812,1
20,0,1,13,8.7210693359375,1
20,0,1,14,8.654037475585938,1
20,0,1,15,8.716278076171875,1
21,0,1,0,8.754592895507812,1
21,0,1,1,8.7210693359375,1
21,0,1,2,8.654037475585938,1
21,0,1,3,8.716278076171875,1
21,0,1,4,8.71148681640625,1
21,0,1,5,8.701919555664062,1
21,0,1,6,8.740219116210938,1
21,0,1,7,8.706695556640625,1
21,0,1,8,8.716278076171875,1
21,0,1,9,8.7210693359375,1
21,0,1,10,8.768951416015625,1
21,0,1,11,8.692337036132812,1
21,0,1,12,8.76416015625,1
21,0,1,13,8.6588134765625,1
21,0,1,14,8.73065185546875,1
21,0,1,15,8.725860595703125,1
22,0,1,0,8.448135375976562,1
22,0,1,1,8.831207275390625,1
22,0,1,2,8.089004516601562,1
22,0,1,3,8.998794555664062,1
22,0,1,4,8.8695068359375,1
22,0,1,5,8.649246215820312,1
22,0,1,6,8.448135375976562,1
22,0,1,7,8.926971435546875,1
22,0,1,8,8.768951416015625,1
22,0,1,9,8.46728515625,1
22,0,1,10,8.620513916015625,1
22,0,1,11,8.85992431640625,1
